jenis_kelamin,jurusan,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,real_target
Laki-laki,Teknik Mesin,2,1,3,2,2,4,3,1,2,3,3,2,4,4,3,Visual
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,5,4,5,5,3,5,4,5,5,3,4,3,3,3,5,Kinestetik
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,3,5,5,1,1,3,5,3,5,4,3,5,3,3,3,Kinestetik
Laki-laki,Teknik Mesin,4,3,5,2,4,1,2,2,4,4,2,4,3,5,1,Visual
Laki-laki,Bahasa,4,3,2,5,1,2,4,2,2,4,3,1,3,1,2,Visual
Perempuan,Siswa Menengah Pertama,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,Kinestetik
Perempuan,Teknik Jaringan Komputer & Telekomunikasi,5,4,5,4,3,4,2,3,4,5,4,4,2,2,5,Kinestetik
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,5,4,4,4,3,2,2,4,4,2,3,2,2,2,4,Auditori
Laki-laki,Administrasi Perkantoran,2,3,3,2,4,3,1,2,3,3,3,1,1,2,1,Visual
Laki-laki,Siswa Menengah Pertama,5,4,2,5,3,3,5,3,4,3,3,3,3,1,3,Kinestetik
Perempuan,Teknik Instalasi Tenaga Listrik,4,4,4,3,4,5,3,4,5,2,4,1,3,3,5,Kinestetik
Laki-laki,Desain Pemodelan dan Informasi Bangunan,1,2,3,2,4,5,4,2,5,1,4,3,3,2,1,Visual
Laki-laki,Teknik Instalasi Tenaga Listrik,2,3,5,4,3,3,2,4,5,5,3,4,2,3,4,Kinestetik
Laki-laki,Teknik Mesin,2,5,4,4,5,1,2,4,3,2,5,2,4,5,4,Auditori
Perempuan,Siswa Menengah Pertama,2,3,4,3,3,4,3,3,5,3,3,3,3,3,5,Kinestetik
Perempuan,Akuntansi,4,5,3,2,5,1,3,5,2,4,1,3,5,2,1,Visual
Perempuan,Administrasi Perkantoran,2,4,3,5,4,2,5,2,1,3,4,5,2,3,3,Visual
Laki-laki,Lainnya,2,4,5,4,3,5,5,3,5,5,3,3,3,2,2,Kinestetik
Perempuan,Lainnya,3,4,5,4,2,4,4,4,4,3,3,3,4,3,3,Kinestetik
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,4,4,4,4,2,5,4,4,4,4,2,2,2,2,4,Kinestetik
Perempuan,Siswa Menengah Pertama,5,5,4,4,4,5,3,4,5,3,4,4,3,4,4,Auditori
Perempuan,Siswa Menengah Pertama,5,5,5,5,5,4,5,5,4,5,2,2,4,5,5,Kinestetik
Perempuan,Farmasi,3,5,4,1,4,3,4,5,4,2,5,1,2,3,2,Auditori
Perempuan,Teknik Jaringan Komputer & Telekomunikasi,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,Kinestetik
Perempuan,Siswa Menengah Pertama,3,5,5,5,5,5,1,1,5,1,5,1,1,5,5,Kinestetik
Laki-laki,Lainnya,5,5,4,3,5,3,5,4,3,3,1,5,3,3,3,Visual
Perempuan,KEPERAWATAN,5,3,3,4,2,3,4,1,2,5,2,3,4,3,3,Visual
Perempuan,Lainnya,5,5,5,3,4,3,3,3,3,3,4,3,4,3,4,Kinestetik
Perempuan,Desain Pemodelan dan Informasi Bangunan,2,4,5,1,2,4,1,3,1,5,4,3,2,5,2,Kinestetik
Perempuan,Lainnya,4,3,1,3,2,3,3,2,3,4,3,1,4,2,3,Visual
Perempuan,Desain dan Produksi Kriya,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Auditori
Laki-laki,Akuntansi,2,2,3,1,2,3,2,1,3,1,1,4,1,2,5,Visual
Perempuan,Kurikulum Merdeka,5,5,4,4,3,5,4,4,5,5,3,5,4,3,5,Kinestetik
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,4,4,4,4,4,4,4,4,4,3,3,2,3,4,4,Auditori
Laki-laki,Nautika Kapal Penangkap Ikan,4,2,3,5,5,5,2,4,5,3,5,1,2,5,4,Auditori
Laki-laki,Teknik Kendaraan Ringan Otomotif,5,2,3,2,4,3,1,3,3,2,5,2,2,2,4,Auditori
Laki-laki,Teknik Sepeda Motor,4,5,3,2,4,3,1,4,3,3,5,4,3,4,3,Auditori
Perempuan,Siswa Menengah Pertama,4,2,5,5,3,5,4,5,5,4,3,3,3,2,5,Kinestetik
Perempuan,Siswa Menengah Pertama,5,5,5,5,3,5,3,5,5,3,5,5,3,3,5,Kinestetik
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,4,5,5,5,5,5,3,4,3,4,5,5,4,5,5,Kinestetik
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Kinestetik
Perempuan,Teknik Kendaraan Ringan Otomotif,3,4,5,5,3,5,2,3,5,3,3,4,5,2,5,Kinestetik
Laki-laki,Teknik Kendaraan Ringan Otomotif,1,5,5,5,1,5,4,3,4,2,2,5,1,5,5,Kinestetik
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,3,2,2,3,3,2,3,3,3,3,2,1,2,1,1,Auditori
Perempuan,Siswa Menengah Pertama,3,4,3,4,2,3,2,2,5,3,3,4,3,2,5,Visual
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,5,3,5,3,2,1,2,5,5,4,5,1,4,3,5,Kinestetik
Perempuan,Siswa Menengah Pertama,4,5,4,3,4,4,4,4,5,4,3,4,3,2,5,Kinestetik
Perempuan,Farmasi,5,5,4,4,4,5,3,4,5,5,3,3,3,5,4,Kinestetik
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,5,5,4,5,5,5,2,5,3,5,3,1,1,1,3,Auditori
Laki-laki,IPS,5,3,4,1,3,4,2,4,2,3,4,5,3,4,1,Auditori
Perempuan,Teknik Pengelasan,2,5,3,4,1,3,2,5,1,4,5,2,4,3,5,Auditori
Perempuan,Akuntansi,4,2,1,4,3,5,5,2,5,2,4,1,2,4,3,Visual
Perempuan,Desain Pemodelan dan Informasi Bangunan,2,3,1,4,3,5,3,2,1,3,4,5,4,2,3,Visual
Laki-laki,Desain dan Produksi Kriya,5,4,3,1,4,5,2,4,1,5,3,2,2,4,5,Auditori
Perempuan,KEPERAWATAN,1,1,3,2,3,5,5,4,4,3,5,5,3,4,5,Kinestetik
Laki-laki,Desain Pemodelan dan Informasi Bangunan,3,4,2,1,4,5,2,3,4,1,4,3,2,5,1,Auditori
Laki-laki,Siswa Menengah Pertama,5,5,5,5,5,1,5,5,1,1,5,1,5,5,1,Visual
Perempuan,Siswa Menengah Pertama,5,5,5,5,3,3,4,5,3,3,5,4,2,4,3,Kinestetik
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,3,4,3,3,2,4,2,3,4,3,3,4,3,2,4,Kinestetik
Perempuan,KEPERAWATAN,1,2,5,4,4,3,3,5,1,1,2,2,3,3,1,Visual
Perempuan,Siswa Menengah Pertama,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,Kinestetik
Laki-laki,Desain Pemodelan dan Informasi Bangunan,4,5,3,3,4,2,2,5,3,1,5,2,1,4,3,Auditori
Laki-laki,Teknik Pengelasan,3,5,5,3,5,4,4,4,4,2,3,3,3,4,4,Auditori
Perempuan,Siswa Menengah Pertama,4,5,5,5,4,3,3,3,4,4,3,3,3,4,4,Visual
Perempuan,Siswa Menengah Pertama,3,4,5,5,5,4,3,3,5,5,3,5,3,2,5,Kinestetik
Perempuan,Kurikulum Merdeka,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,Kinestetik
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,3,4,5,1,4,4,2,3,4,3,3,1,3,3,4,Kinestetik
Laki-laki,Desain Pemodelan dan Informasi Bangunan,1,4,3,2,5,4,3,1,5,4,2,5,3,2,1,Visual
Perempuan,Farmasi,4,5,3,5,4,5,2,4,5,2,4,1,3,3,1,Auditori
Perempuan,Desain Komunikasi Visual,4,5,2,4,1,2,5,4,3,5,1,4,2,4,5,Visual
Perempuan,Desain dan Produksi Kriya,4,3,4,1,2,4,5,2,1,3,3,2,1,5,4,Visual
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,1,3,3,2,3,4,3,3,5,3,4,2,1,1,5,Kinestetik
Perempuan,Rekayasa Perangkat Lunak,2,5,4,2,4,3,5,1,4,5,4,2,5,4,3,Visual
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,Visual
Perempuan,Siswa Menengah Pertama,4,5,5,4,2,5,3,4,5,5,4,5,3,3,5,Kinestetik
Perempuan,IPS,4,4,4,4,3,4,5,3,4,5,3,3,4,4,4,Kinestetik
Perempuan,Siswa Menengah Pertama,5,5,5,4,5,5,5,3,2,5,5,5,5,5,5,Kinestetik
Perempuan,Siswa Menengah Pertama,4,4,4,5,4,4,4,4,5,4,4,4,4,3,5,Kinestetik
Perempuan,Desain Pemodelan dan Informasi Bangunan,2,2,5,4,1,4,2,1,3,2,1,4,3,1,2,Kinestetik
Perempuan,Siswa Menengah Pertama,3,3,5,5,5,5,4,3,4,3,3,4,3,3,5,Kinestetik
Perempuan,Lainnya,2,5,4,1,3,2,2,5,1,3,5,3,2,5,3,Auditori
Perempuan,Multimedia,5,3,5,5,3,5,5,2,4,5,5,5,5,3,5,Kinestetik
Laki-laki,Teknik Mesin,4,1,2,3,3,2,5,1,2,3,2,1,4,2,1,Visual
Perempuan,Siswa Menengah Pertama,5,5,5,5,5,5,2,5,5,5,3,5,5,1,5,Kinestetik
Laki-laki,Teknik Mesin,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Auditori
Perempuan,Siswa Menengah Pertama,3,5,4,5,3,4,4,5,3,5,5,4,4,5,3,Auditori
Perempuan,Desain dan Produksi Kriya,1,5,4,3,2,4,5,3,5,5,2,3,1,4,1,Visual
Laki-laki,Teknik Mesin,4,4,4,5,2,3,4,2,1,2,4,3,4,2,1,Visual
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,5,3,5,3,2,5,5,3,5,2,2,2,2,2,5,Kinestetik
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,Auditori
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,3,3,4,4,4,3,2,4,4,1,4,2,3,1,4,Auditori
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,4,5,5,5,5,3,4,5,4,4,5,5,4,5,4,Auditori
Perempuan,Desain dan Produksi Kriya,1,5,2,2,4,2,4,5,3,2,4,2,1,1,1,Auditori
Perempuan,Teknik Jaringan Komputer & Telekomunikasi,2,5,3,4,5,3,2,4,4,4,5,3,2,2,4,Auditori
Perempuan,Siswa Menengah Pertama,3,5,2,4,5,4,3,2,3,2,2,2,2,2,3,Auditori
Perempuan,Siswa Menengah Pertama,1,4,2,2,5,3,2,1,2,1,3,2,2,4,2,Auditori
Perempuan,Siswa Menengah Pertama,4,5,5,5,5,5,3,5,4,5,4,5,3,5,5,Kinestetik
Laki-laki,Desain Komunikasi Visual,4,5,2,4,1,4,2,4,2,3,5,1,5,2,4,Auditori
Laki-laki,Bahasa,2,4,4,5,2,3,1,2,1,2,3,5,4,5,2,Auditori
Perempuan,Teknik Kendaraan Ringan Otomotif,3,4,3,3,2,2,2,3,3,4,3,3,2,4,2,Auditori
Laki-laki,Desain dan Produksi Kriya,2,5,3,4,4,5,2,1,2,5,4,5,2,1,5,Kinestetik
Laki-laki,Siswa Menengah Pertama,5,2,2,4,3,2,5,2,4,3,2,2,1,3,3,Visual
Perempuan,Administrasi Perkantoran,2,5,3,1,2,3,2,4,3,5,2,4,5,1,3,Visual
Laki-laki,Teknik Instalasi Tenaga Listrik,1,5,5,1,1,5,1,5,5,4,1,3,1,1,1,Kinestetik
Laki-laki,Siswa Menengah Pertama,5,5,5,5,5,5,3,3,5,5,3,5,3,3,5,Kinestetik
Laki-laki,Rekayasa Perangkat Lunak,4,3,5,4,4,5,3,4,5,4,3,3,4,3,5,Kinestetik
Laki-laki,Teknik Kendaraan Ringan Otomotif,1,4,3,4,4,5,2,4,1,4,5,3,4,2,4,Auditori
Perempuan,Kurikulum Merdeka,3,4,5,5,5,5,4,5,5,5,2,3,1,1,5,Kinestetik
Perempuan,Teknik Pengelasan,4,3,2,5,1,2,4,3,4,4,2,3,5,2,3,Visual
Laki-laki,Bahasa,4,5,2,3,5,1,5,2,5,3,5,4,5,2,5,Visual
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,Visual
Perempuan,Multimedia,2,5,3,1,5,3,3,4,3,3,5,2,2,4,2,Auditori
Laki-laki,Siswa Menengah Pertama,1,5,3,5,2,3,1,5,5,1,5,1,1,1,5,Visual
Perempuan,Lainnya,4,5,4,4,4,4,4,2,3,3,4,4,5,5,4,Auditori
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Auditori
Laki-laki,Siswa Menengah Pertama,5,5,3,4,5,5,5,1,2,1,1,1,5,1,1,Visual
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,3,4,4,4,3,4,3,3,4,3,3,3,2,1,4,Kinestetik
Perempuan,Multimedia,5,5,5,3,5,5,5,5,5,3,3,5,3,5,5,Kinestetik
Laki-laki,Teknik Sepeda Motor,5,3,5,5,4,5,4,3,5,5,5,5,5,4,5,Visual
Perempuan,Farmasi,4,4,5,5,5,5,5,3,5,4,5,2,5,5,5,Kinestetik
Perempuan,Administrasi Perkantoran,4,2,5,3,1,4,2,5,4,3,4,2,5,4,1,Visual
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,5,5,1,1,1,5,5,1,5,5,5,5,1,1,1,Visual
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,3,4,3,4,5,3,4,4,4,4,5,3,5,3,4,Auditori
Laki-laki,Desain Pemodelan dan Informasi Bangunan,3,5,3,1,3,2,4,1,4,2,3,1,4,5,3,Auditori
Perempuan,Siswa Menengah Pertama,4,5,2,5,3,5,4,5,4,3,2,3,4,2,5,Kinestetik
Perempuan,IPA,2,4,5,3,1,3,4,2,5,2,1,3,5,4,2,Visual
Laki-laki,IPS,1,4,2,3,5,4,3,4,1,2,2,4,3,5,2,Auditori
Perempuan,KEPERAWATAN,1,1,2,3,2,4,4,5,5,3,2,1,1,5,5,Kinestetik
Laki-laki,Teknik Kendaraan Ringan Otomotif,4,5,3,2,4,3,1,4,3,1,5,4,2,4,3,Auditori
Laki-laki,Teknik Sepeda Motor,5,5,3,3,4,3,4,2,3,4,3,4,3,1,3,Visual
Perempuan,Siswa Menengah Pertama,4,5,1,5,5,5,3,5,4,1,5,3,3,5,5,Auditori
Perempuan,Administrasi Perkantoran,4,2,3,4,5,4,2,3,1,5,4,2,3,5,3,Auditori
Perempuan,Lainnya,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,Auditori
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,4,5,4,3,4,4,4,4,3,4,3,4,3,3,4,Auditori
Perempuan,Siswa Menengah Pertama,4,5,5,4,4,4,5,5,5,3,4,4,4,3,4,Kinestetik
Perempuan,Desain dan Produksi Kriya,1,4,5,2,3,1,5,1,2,4,3,2,5,2,1,Visual
Laki-laki,Teknik Kendaraan Ringan Otomotif,3,3,5,3,3,4,2,2,3,3,1,1,3,1,4,Auditori
Perempuan,Siswa Menengah Pertama,5,5,5,1,1,5,1,5,5,5,5,2,1,1,5,Kinestetik
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,3,3,5,4,4,2,4,2,3,2,2,3,2,1,4,Auditori
Laki-laki,Siswa Menengah Pertama,4,5,5,4,5,3,4,2,5,3,3,5,4,3,5,Kinestetik
Laki-laki,Desain dan Produksi Kriya,3,4,4,3,1,2,2,5,5,3,4,2,2,1,4,Auditori
Laki-laki,Lainnya,2,4,3,3,1,2,4,3,1,3,3,2,5,2,4,Visual
Laki-laki,Teknik Sepeda Motor,4,5,2,4,1,3,4,2,4,5,1,2,4,5,2,Visual
Laki-laki,Desain Komunikasi Visual,3,4,5,3,5,4,4,2,4,2,4,3,2,4,4,Auditori
Laki-laki,Desain Komunikasi Visual,4,2,5,1,4,2,4,4,5,2,3,5,2,4,2,Auditori
Perempuan,Desain Pemodelan dan Informasi Bangunan,5,3,4,1,2,2,4,1,4,2,5,2,3,4,1,Visual
Laki-laki,Siswa Menengah Pertama,3,3,4,4,3,3,3,2,3,3,2,4,3,3,4,Auditori
Perempuan,Siswa Menengah Pertama,4,2,3,5,3,5,4,3,5,4,4,5,3,2,4,Kinestetik
Laki-laki,Kurikulum Merdeka,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Auditori
Perempuan,Siswa Menengah Pertama,5,5,5,3,5,5,3,1,3,2,3,3,3,5,5,Kinestetik
Laki-laki,Desain Pemodelan dan Informasi Bangunan,4,3,1,2,5,2,1,4,3,5,4,2,1,3,3,Auditori
Laki-laki,Siswa Menengah Pertama,4,5,5,5,3,5,4,3,5,3,1,2,3,4,5,Kinestetik
Perempuan,IPA,2,4,5,2,3,5,1,4,3,5,1,3,4,2,4,Kinestetik
Laki-laki,Siswa Menengah Pertama,3,4,4,5,2,2,3,2,3,3,4,3,3,2,2,Visual
Perempuan,Bahasa,4,5,2,3,4,5,1,2,5,3,4,1,5,2,3,Visual
Laki-laki,Teknik Sepeda Motor,4,2,5,2,5,1,5,2,3,5,1,4,2,3,5,Visual
Laki-laki,Rekayasa Perangkat Lunak,2,4,3,5,2,3,2,3,2,5,3,2,4,1,2,Visual
Perempuan,Siswa Menengah Pertama,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Kinestetik
Laki-laki,Siswa Menengah Pertama,3,4,3,4,3,3,4,2,3,2,3,2,3,1,3,Visual
Laki-laki,Teknik Mesin,4,4,5,5,4,4,4,3,5,5,3,4,3,3,5,Kinestetik
Laki-laki,Kurikulum Merdeka,5,3,5,5,3,5,5,3,5,3,3,5,3,3,5,Kinestetik
Perempuan,Siswa Menengah Pertama,5,5,5,5,3,3,3,3,5,3,5,3,3,1,5,Visual
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,3,4,4,3,5,4,4,4,5,3,4,4,4,5,5,Kinestetik
Laki-laki,Teknik Mesin,2,5,2,1,4,3,1,5,3,2,3,4,3,5,3,Auditori
Laki-laki,Kurikulum Merdeka,3,5,4,3,5,4,4,3,4,2,4,2,2,4,4,Auditori
Perempuan,Teknik Jaringan Komputer & Telekomunikasi,5,5,5,5,5,5,5,5,5,3,3,4,3,2,4,Kinestetik
Laki-laki,Siswa Menengah Pertama,1,3,2,2,4,3,2,4,3,3,3,2,3,1,3,Auditori
Perempuan,Siswa Menengah Pertama,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,Kinestetik
Perempuan,Siswa Menengah Pertama,4,4,3,3,4,3,3,3,3,5,4,4,3,3,3,Visual
Perempuan,KEPERAWATAN,1,5,4,5,1,2,2,3,4,5,5,1,1,3,5,Visual
Perempuan,Siswa Menengah Pertama,5,5,3,5,4,3,3,2,4,5,5,3,2,2,5,Visual
Laki-laki,Teknik Instalasi Tenaga Listrik,2,2,4,2,1,1,3,5,2,4,2,4,1,5,4,Visual
Laki-laki,Siswa Menengah Pertama,5,5,5,3,5,5,5,4,1,5,5,1,5,1,1,Visual
Laki-laki,IPS,4,5,4,3,5,4,4,2,4,3,5,3,3,5,4,Auditori
Laki-laki,Teknik Pengelasan,4,2,4,1,5,3,5,1,4,5,2,4,5,2,5,Visual
Laki-laki,Desain dan Produksi Kriya,4,4,5,2,3,1,1,4,5,4,1,3,1,4,2,Kinestetik
Perempuan,Teknik Sepeda Motor,5,5,4,3,5,5,3,5,5,5,5,5,5,5,5,Kinestetik
Laki-laki,Kurikulum Merdeka,5,4,5,5,3,4,4,3,5,3,3,4,3,3,5,Kinestetik
Perempuan,Siswa Menengah Pertama,4,5,5,4,5,5,5,4,5,4,3,3,3,4,5,Kinestetik
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,3,5,5,3,4,4,3,3,4,3,2,3,3,4,4,Kinestetik
Perempuan,Siswa Menengah Pertama,5,5,5,5,5,1,5,5,5,5,5,1,1,5,5,Kinestetik
Laki-laki,Siswa Menengah Pertama,5,5,5,5,4,5,4,3,5,3,2,5,3,2,5,Kinestetik
Perempuan,Desain dan Produksi Kriya,4,2,3,5,4,3,4,2,1,5,3,2,4,3,1,Visual
Laki-laki,Desain Komunikasi Visual,5,2,4,1,3,5,2,1,4,5,2,4,3,2,4,Kinestetik
Perempuan,Akuntansi,4,4,4,5,3,5,5,5,5,5,5,5,2,5,5,Kinestetik
Perempuan,Kurikulum Merdeka,4,4,4,4,4,5,5,4,5,5,5,4,4,5,5,Kinestetik
Laki-laki,Teknik Jaringan Komputer & Telekomunikasi,2,4,3,3,3,3,4,2,3,2,3,3,2,1,3,Visual
Perempuan,Siswa Menengah Pertama,2,4,3,3,2,3,3,2,3,3,2,4,4,2,3,Visual
